Titulo;Fecha Estreno;Genero;Duracion;Año;Clasificacion Edad;Protagonistas;Sinopsis;Link;Portada
La familia Claus;1/11/2021;Películas familiares;1h 37 min;2020;0+ ;Jan Decleir,Mo Bakker,Bracha van Doesburgh;Jules odia la Navidad. Cuando su abuelo cae enfermo, el joven descubre que su familia desciende de un linaje mágico, y que el futuro de esta festividad depende de él.;https://www.netflix.com/watch/81316603;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR4XxkcMmoUlYt233ID9gKmwjqH7QhoGKsx7YN-aujoH-uBTnHZZNj7p489dmrCV9WWjOWtXov4WE8_YxO7IzU-a4AcvqRM6P_V31o1iXRrExLb1C8ZVjIduWi4UCg.jpg?r=b27
Ridley Jones, la guardiana del museo;2/11/2021;Dibujos animados TV;2 temporadas;2021;0+ ;Iara Nemirovsky,Laraine Newman,David Errigo Jr.;Con la ayuda de sus amigos, la curiosa y audaz niña Ridley protege los tesoros del museo y custodia su mágico secreto: ¡todo cobra vida de noche!;https://www.netflix.com/watch/81228823;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa5BnlVMaXS2fxDDKDR8typa2vU9UsThKVVsPpQbROKZogidjIME9fM7G48a3-PDyVKNrK3nBhE9r8pGZxIVRA7clzPkfqIxThXcfusvfnFkJqmUMQ98zNmkdzt3Fg.jpg?r=71f
Campo secreto: Nazis en EE. UU.;2/11/2021;Películas documentales;35 min;2021;12+ ;Arno Mayer,Peter Wiess;Veteranos de la Segunda Guerra Mundial revelan un campamento militar secreto en EE. UU. en el que soldados judíos interrogaban a prisioneros nazis. Un documental animado.;https://www.netflix.com/watch/81227142;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfGhcS1TNNyl46yiWPADIT0QITJ_zUCdUzSVP2ahQjtLRp9ny9-ts4co5VjooIGG_UiP_10aKbOme6eyGxA0DipGTZaXTZojeTW94kuEbS5vI5XsoDS_v4eM3Vr1TA.jpg?r=435
Más dura será la caída;3/11/2021;Dramas;2h 19 min;2021;16+ ;Jonathan Majors,Idris Elba,Regina King;El forajido Nat Love reúne a su banda para acabar con su gran enemigo Rufus Buck, un despiadado criminal que acaba de salir de la cárcel.;https://www.netflix.com/watch/81077494;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcERzKK9A1O3kHUzhIVsxQ9oMduvATd59j_PbMOHTZ2cJSlbqlMjMaz00oAhEG0D8SQ36X-ef-zTPQgBjNcZ9QMTiPG0plKIU7_8aCt4hmxEP5R2rV8hJoXY6SyKWg.jpg?r=6d2
Los reyes de la estafa;3/11/2021;Películas documentales;1h 45 min;2021;12+ ;-;Este documental analiza el ascenso y caída de los responsables de la estafa del impuesto sobre el carbono, que se embolsaron millones antes de volverse unos contra otros.;https://www.netflix.com/watch/81092697;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeu7Zz0OQAoM-x2BSYJ2QRNHsRhY0k3v5fg2eALrNVSZxEpNTBhRd5Aqro3d4x-wmA8-YQHKgIfQUbpOfMwVLhJIusFHPdY4oIFCU_rXObAENHfcrnABiqyaxnOZMg.jpg?r=d5e
A la caza del asesino;4/11/2021;Documentales sobre crímenes reales;1 temporada;2021;16+ ;-;Los investigadores de famosos casos de asesinos en serie revelan los macabros y escalofriantes detalles de su extraordinario trabajo en esta serie sobre crímenes reales.;https://www.netflix.com/watch/81264651;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWI0ZTog5e3pjJRkUsz5WYM7zZbZ4cKdGoKo8JqD8MS040R9IEaDzQyZHSwJj7YXE08YzFrQ1W39YHQU5mWhDv4rB6P7lywO6KK9vkeyk6ldsQZcb-OMYalmheptfQ.jpg?r=671
Glória;5/11/2021;Dramas TV;1 temporada;2021;16+ ;Miguel Nunes,Matt Rippy,Stephanie Vogt;Portugal, 1968. En Glória do Ribatejo afloran espías, mentiras y secretos cuando un ingeniero acomodado de Radio Free Europe se sumerge en las intrigas de la Guerra Fría.;https://www.netflix.com/watch/81089156;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABStwO_yhlbPbzQhTRdSE1JEXOBCE_HMwNqit2ixkWf_rtCIRZ1Kv_wVi004NCt4GkFMzUS5x7gcsdGXxNk94DQp40A-sFzm2N9vUSzLxNIbgI-lftFF0NjBBaCd20w.jpg?r=cb0
¿Dónde está Marta?;5/11/2021;Documentales sobre crímenes reales;1 temporada;2021;16+ ;-;La desaparición de la adolescente Marta del Castillo acaparó todos los titulares. Familiares, amigos y policías, entre otros, opinan sobre un caso que sigue sin resolver.;https://www.netflix.com/watch/81306173;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABStn6avpUmP4jxYtpPqc7dVdGzBtAv8KxHU_9PXVlz8I7IxkvTrvXzpSLYWZ5p0vu9iIqbLdj3sl0NBSzgl05H0bNyQz8q7IkB1IL29qXkJNbC_AZTN69jbzAcPqJA.jpg?r=20d
El asesino improbable;5/11/2021;Dramas TV;1 temporada;2021;12+ ;Robert Gustafsson,Peter Andersson,Mikael Persbrandt;Esta serie dramatiza cómo un hombre que afirmó ser testigo del asesinato de Olof Palme, el primer ministro sueco, podría haberle matado y escapado con total impunidad.;https://www.netflix.com/watch/81330078;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbNxjRdwP5HL4wtb_Jy6OAJaOOwwKPL91wnyjNA2c5QklLcIxpAZzJmfawX1sxvM5lX_k_uKpjp018OZT0nE9GUrMO9VVnY_OQyG3PI_cKCtnl0EqVS4bCEL9_-wLg.jpg?r=541
Big Mouth;5/11/2021;Comedias TV;5 temporadas;2017;16+ ;Nick Kroll,John Mulaney,Jessi Klein;En esta comedia políticamente incorrecta de Nick Kroll y Andrew Goldberg, unos adolescentes descubren las maravillas y los horrores de la pubertad.;https://www.netflix.com/watch/81159696;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXXlSGl6XVz67HxyuRMGlOML1W_m58e_rpAqcgkEtdk6ATOULaY32Ma6a2fBcD60ilPY8m6qhxq0qyqxcwKzXmBRKSfRucizmUJo3c1GGCluLDSUniLFv_tF6lGjEA.jpg?r=a38
